66.8,334,850,,,,,,,,,,,,,,,,,
70.43,76.85,0.4165,0.6292,0.322,36448,23424,46728,0.4602,0.618,0.2716,158750,115650,273900,0.4519,0.6015,0.3115,466488,347544,699264
85.39,52.85,0.6496,0.7627,0.4726,33520,27480,45600,0.6416,0.7217,0.4327,163550,141700,245650,0.59,0.6864,0.4302,465624,394632,653040
105.58,28.44,0.7106,0.7222,0.567,33624,31824,41152,0.6684,0.6919,0.5392,173400,163950,213550,0.6071,0.6524,0.5157,482760,449424,581112
180,11.43,0.7311,0.6524,0.6486,33496,36432,36672,0.6798,0.6297,0.6228,174700,187200,189000,0.6173,0.5907,0.5893,484128,513432,515736
254.42,28.43,0.7077,0.568,0.7178,33696,40904,32000,0.6719,0.5406,0.6847,172350,212750,165800,0.6082,0.5146,0.6486,481680,579312,452304
274.6,52.85,0.6517,0.4701,0.7576,33408,45656,27536,0.6523,0.4233,0.7182,160750,248350,141800,0.5945,0.4266,0.6844,461592,654552,397152
289.57,76.84,0.4182,0.313,0.639,36296,47216,23088,0.478,0.2657,0.6443,148800,266200,107850,0.4641,0.3026,0.6136,456768,711576,344952
76.17,80.56,0.3195,0.5023,0.2493,36880,22872,46848,0.3852,0.5455,0.2128,148050,102900,273900,0.3952,0.497,0.2503,439272,348768,725256
92.65,56.16,0.6696,0.7573,0.4475,31856,27216,47528,0.667,0.7163,0.4058,153850,139600,257450,0.6111,0.6849,0.411,443736,391104,678456
116.54,32.38,0.7244,0.7183,0.5499,32632,31904,42064,0.6846,0.6904,0.527,168600,164100,218200,0.623,0.6513,0.5019,468144,449568,595584
180,18.24,0.7462,0.6445,0.6381,32688,36824,37088,0.6945,0.6238,0.617,170450,189350,191100,0.6311,0.5837,0.5824,471672,519912,521712
243.39,32.41,0.7263,0.5536,0.7093,32696,41800,32104,0.6887,0.5276,0.6818,167100,217700,166100,0.6242,0.5008,0.6464,466632,593856,452808
267.25,56.2,0.6752,0.4436,0.7548,31744,47584,27272,0.6778,0.3922,0.7172,150550,261600,138750,0.6149,0.4062,0.6838,440568,679608,393120
283.71,80.63,0.3175,0.2399,0.5087,36800,47392,22408,0.4029,0.2063,0.5709,136300,266200,94400,0.4049,0.2386,0.5065,428256,743544,341496
98.89,59.58,0.6899,0.7484,0.4243,30344,26928,49328,0.689,0.7117,0.3785,144750,136550,269600,0.6273,0.6812,0.3926,424728,386640,701928
124.62,36.71,0.7398,0.7113,0.5384,31752,31984,42864,0.6976,0.686,0.5152,164100,164200,222600,0.637,0.6497,0.4895,455040,449424,608832
180,24.55,0.7575,0.6355,0.6286,31952,37184,37464,0.7074,0.6172,0.6118,166800,191200,192900,0.6438,0.5764,0.5747,460224,525600,527472
235.31,36.75,0.7375,0.5379,0.7001,31792,42600,32208,0.7042,0.515,0.6762,162450,222200,166250,0.6389,0.4881,0.6431,453312,606888,453096
261,59.64,0.6945,0.4181,0.7489,30192,49448,26960,0.6918,0.3709,0.7277,141150,266200,131100,0.6345,0.3861,0.6828,419976,705312,388008
104.98,63.47,0.7052,0.7386,0.4012,28768,26552,51280,0.7038,0.7182,0.3563,134800,129250,273900,0.6449,0.6745,0.3706,402696,380520,730080
131.44,41.74,0.7534,0.7011,0.521,30856,32056,43688,0.711,0.6804,0.5005,159500,164250,227150,0.651,0.6461,0.4762,441576,449352,622368
180,31.17,0.7678,0.625,0.617,31184,37552,37864,0.7177,0.6093,0.6017,163150,193100,194650,0.6559,0.5672,0.5654,448488,531432,533376
228.49,41.79,0.7537,0.5228,0.6896,30864,43416,32320,0.7197,0.502,0.6698,157700,226750,166450,0.6534,0.4752,0.6383,439776,620136,453384
254.9,63.54,0.7082,0.3939,0.7388,28648,51392,26560,0.7072,0.3549,0.733,131200,266200,125050,0.6536,0.3618,0.6787,397152,735696,380448
110.32,67.34,0.6913,0.7133,0.3719,28008,26080,52512,0.6895,0.7001,0.3382,128950,124750,273900,0.6466,0.6599,0.3446,383904,372528,756864
136.69,46.75,0.7628,0.6907,0.509,30032,32128,44440,0.7224,0.673,0.49,155200,164350,231350,0.6631,0.6402,0.4636,429336,449424,634536
179.97,37.37,0.7744,0.6135,0.6048,30512,37872,38216,0.7268,0.5998,0.5922,159850,194750,196300,0.6658,0.5581,0.5555,437760,536688,538848
223.26,46.8,0.76,0.5087,0.6818,30024,44176,32400,0.729,0.4903,0.6614,153400,230900,166600,0.666,0.4629,0.6329,427824,631800,453672
249.57,67.41,0.6931,0.3651,0.7171,27856,52768,25976,0.6956,0.3352,0.7182,125550,266200,121100,0.6685,0.3402,0.6589,370872,746928,373032
115.86,71.78,0.6409,0.67,0.3381,27688,25632,53280,0.6562,0.6649,0.3127,125450,121600,273900,0.6389,0.6275,0.3226,361296,363672,757152
141.54,52.5,0.767,0.6745,0.4897,29136,32192,45272,0.728,0.6607,0.4731,150550,164450,235900,0.673,0.6312,0.4494,416736,449640,646920
179.97,44.2,0.7821,0.5995,0.5886,29808,38216,38576,0.7324,0.5867,0.5819,156450,196400,198050,0.6771,0.5456,0.5434,426384,542376,544536
218.42,52.56,0.7725,0.496,0.6672,29128,44968,32504,0.7417,0.4747,0.6521,148950,235300,166650,0.6764,0.4492,0.6249,415656,643752,453888
244.04,71.86,0.6451,0.3297,0.6752,27624,53472,25504,0.667,0.311,0.6726,121800,266200,118950,0.6459,0.3184,0.6402,356616,746928,358416
121.03,76.3,0.5534,0.5853,0.3057,28320,25872,52408,0.584,0.5938,0.2837,128850,122900,273900,0.5841,0.5792,0.2953,359208,359856,757152
145.62,58.32,0.7731,0.6578,0.477,28296,32248,46056,0.7284,0.6465,0.4593,146200,164600,240100,0.68,0.6201,0.4354,405144,450000,658152
180,50.92,0.784,0.5786,0.5754,29136,38568,38896,0.7371,0.5735,0.5664,153050,198200,199650,0.6844,0.5328,0.5305,415512,548136,549648
214.35,58.36,0.7778,0.4729,0.651,28304,45704,32592,0.7464,0.4581,0.6394,144650,239500,166750,0.6848,0.4346,0.6151,404136,654984,454176
238.89,76.37,0.5553,0.2993,0.5906,28448,52360,25792,0.5914,0.2834,0.6111,125500,266200,118550,0.5936,0.2917,0.5885,353088,746928,355536
126.54,81.42,0.3328,0.4111,0.2386,33656,26192,46752,0.377,0.4226,0.2382,157450,136350,257100,0.4282,0.4318,0.2493,395928,391608,725760
149.56,64.87,0.7621,0.6279,0.4512,27424,32376,46800,0.7355,0.6196,0.4369,141350,165150,244400,0.6827,0.5993,0.4161,391608,451728,669960
180,58.3,0.7827,0.5585,0.5553,28408,38936,39256,0.7412,0.5521,0.5522,149250,200250,201400,0.6897,0.5153,0.5159,404136,554472,554688
210.43,64.87,0.7634,0.4481,0.6269,27456,46432,32712,0.742,0.4341,0.6176,140000,243800,167100,0.6879,0.4142,0.6004,390960,666792,455544
233.46,81.41,0.3354,0.2387,0.4217,33952,46616,26032,0.3821,0.2327,0.4319,157050,259250,134600,0.4323,0.2459,0.4427,397224,727776,388296
