D_tube_inch,L_tube_m,m_dot_frac_eta,T_in_C,mdot_Tin_id,eta,m_dot_frac_dP,P_in_kPa,mdot_Pin_id,dP_kPa
0.3125,3.577,0.05,581.5,117,0.2499,0.05,18000,117,4.792
0.3125,3.577,0.05,591,118,0.2367,0.05,17000,118,5.06
0.3125,3.577,0.05,600.5,119,0.2231,0.05,16000,119,5.362
0.3125,3.577,0.05,610,120,0.2092,0.05,15000,120,5.704
0.3125,4.654,1.2,515,0,0.8924,1.2,25000,0,3262
0.3125,4.654,1.2,524.5,1,0.8897,1.2,24000,1,3409
0.3125,4.654,1.2,534,2,0.8868,1.2,23000,2,3573
0.3125,4.654,1.2,543.5,3,0.8835,1.2,22000,3,3756
0.3125,4.654,1.2,553,4,0.88,1.2,21000,4,3962
0.3125,4.654,1.2,562.5,5,0.8761,1.2,20000,5,4198
0.3125,4.654,1.2,572,6,0.8717,1.2,19000,6,4469
0.3125,4.654,1.2,581.5,7,0.8669,1.2,18000,7,4786
0.3125,4.654,1.2,591,8,0.8614,1.2,17000,8,5164
0.3125,4.654,1.2,600.5,9,0.8552,1.2,16000,9,5626
0.3125,4.654,1.2,610,10,0.8481,1.2,15000,10,6212
0.3125,4.654,1.085,515,11,0.8873,1.081,25000,11,2633
0.3125,4.654,1.085,524.5,12,0.8843,1.081,24000,12,2749
0.3125,4.654,1.085,534,13,0.8811,1.081,23000,13,2876
0.3125,4.654,1.085,543.5,14,0.8776,1.081,22000,14,3018
0.3125,4.654,1.085,553,15,0.8737,1.081,21000,15,3177
0.3125,4.654,1.085,562.5,16,0.8694,1.081,20000,16,3357
0.3125,4.654,1.085,572,17,0.8646,1.081,19000,17,3561
0.3125,4.654,1.085,581.5,18,0.8593,1.081,18000,18,3798
0.3125,4.654,1.085,591,19,0.8533,1.081,17000,19,4075
0.3125,4.654,1.085,600.5,20,0.8466,1.081,16000,20,4405
0.3125,4.654,1.085,610,21,0.8389,1.081,15000,21,4810
0.3125,4.654,0.97,515,22,0.881,0.962,25000,22,2081
0.3125,4.654,0.97,524.5,23,0.8777,0.962,24000,23,2170
0.3125,4.654,0.97,534,24,0.8741,0.962,23000,24,2268
0.3125,4.654,0.97,543.5,25,0.8702,0.962,22000,25,2376
0.3125,4.654,0.97,553,26,0.8659,0.962,21000,26,2497
0.3125,4.654,0.97,562.5,27,0.8612,0.962,20000,27,2632
0.3125,4.654,0.97,572,28,0.8559,0.962,19000,28,2786
0.3125,4.654,0.97,581.5,29,0.8501,0.962,18000,29,2961
0.3125,4.654,0.97,591,30,0.8435,0.962,17000,30,3163
0.3125,4.654,0.97,600.5,31,0.8361,0.962,16000,31,3401
0.3125,4.654,0.97,610,32,0.8277,0.962,15000,32,3686
0.3125,4.654,0.855,515,33,0.873,0.843,25000,33,1600
0.3125,4.654,0.855,524.5,34,0.8694,0.843,24000,34,1667
0.3125,4.654,0.855,534,35,0.8654,0.843,23000,35,1740
0.3125,4.654,0.855,543.5,36,0.861,0.843,22000,36,1821
0.3125,4.654,0.855,553,37,0.8562,0.843,21000,37,1911
0.3125,4.654,0.855,562.5,38,0.851,0.843,20000,38,2011
0.3125,4.654,0.855,572,39,0.8451,0.843,19000,39,2124
0.3125,4.654,0.855,581.5,40,0.8386,0.843,18000,40,2252
0.3125,4.654,0.855,591,41,0.8314,0.843,17000,41,2398
0.3125,4.654,0.855,600.5,42,0.8232,0.843,16000,42,2568
0.3125,4.654,0.855,610,43,0.8139,0.843,15000,43,2768
0.3125,4.654,0.74,515,44,0.8628,0.724,25000,44,1187
0.3125,4.654,0.74,524.5,45,0.8586,0.724,24000,45,1236
0.3125,4.654,0.74,534,46,0.8541,0.724,23000,46,1289
0.3125,4.654,0.74,543.5,47,0.8492,0.724,22000,47,1347
0.3125,4.654,0.74,553,48,0.8438,0.724,21000,48,1412
0.3125,4.654,0.74,562.5,49,0.8379,0.724,20000,49,1484
0.3125,4.654,0.74,572,50,0.8313,0.724,19000,50,1565
0.3125,4.654,0.74,581.5,51,0.824,0.724,18000,51,1656
0.3125,4.654,0.74,591,52,0.8159,0.724,17000,52,1759
0.3125,4.654,0.74,600.5,53,0.8068,0.724,16000,53,1878
0.3125,4.654,0.74,610,54,0.7965,0.724,15000,54,2016
0.3125,4.654,0.625,515,55,0.849,0.605,25000,55,838
0.3125,4.654,0.625,524.5,56,0.8442,0.605,24000,56,871.7
0.3125,4.654,0.625,534,57,0.8391,0.605,23000,57,908.6
0.3125,4.654,0.625,543.5,58,0.8334,0.605,22000,58,949.1
0.3125,4.654,0.625,553,59,0.8273,0.605,21000,59,993.7
0.3125,4.654,0.625,562.5,60,0.8205,0.605,20000,60,1043
0.3125,4.654,0.625,572,61,0.8131,0.605,19000,61,1098
0.3125,4.654,0.625,581.5,62,0.8048,0.605,18000,62,1160
0.3125,4.654,0.625,591,63,0.7957,0.605,17000,63,1230
0.3125,4.654,0.625,600.5,64,0.7854,0.605,16000,64,1310
0.3125,4.654,0.625,610,65,0.7738,0.605,15000,65,1403
0.3125,4.654,0.51,515,66,0.8297,0.486,25000,66,550.8
0.3125,4.654,0.51,524.5,67,0.8241,0.486,24000,67,572.6
0.3125,4.654,0.51,534,68,0.8181,0.486,23000,68,596.5
0.3125,4.654,0.51,543.5,69,0.8115,0.486,22000,69,622.7
0.3125,4.654,0.51,553,70,0.8043,0.486,21000,70,651.5
0.3125,4.654,0.51,562.5,71,0.7965,0.486,20000,71,683.3
0.3125,4.654,0.51,572,72,0.7879,0.486,19000,72,718.7
0.3125,4.654,0.51,581.5,73,0.7784,0.486,18000,73,758.3
0.3125,4.654,0.51,591,74,0.7679,0.486,17000,74,802.9
0.3125,4.654,0.51,600.5,75,0.7562,0.486,16000,75,853.6
0.3125,4.654,0.51,610,76,0.743,0.486,15000,76,911.6
0.3125,4.654,0.395,515,77,0.8008,0.367,25000,77,323.7
0.3125,4.654,0.395,524.5,78,0.794,0.367,24000,78,336.4
0.3125,4.654,0.395,534,79,0.7868,0.367,23000,79,350.3
0.3125,4.654,0.395,543.5,80,0.7789,0.367,22000,80,365.4
0.3125,4.654,0.395,553,81,0.7704,0.367,21000,81,382.1
0.3125,4.654,0.395,562.5,82,0.7611,0.367,20000,82,400.5
0.3125,4.654,0.395,572,83,0.751,0.367,19000,83,420.9
0.3125,4.654,0.395,581.5,84,0.7398,0.367,18000,84,443.7
0.3125,4.654,0.395,591,85,0.7276,0.367,17000,85,469.3
0.3125,4.654,0.395,600.5,86,0.714,0.367,16000,86,498.2
0.3125,4.654,0.395,610,87,0.6988,0.367,15000,87,531.2
0.3125,4.654,0.28,515,88,0.7526,0.248,25000,88,155.8
0.3125,4.654,0.28,524.5,89,0.7442,0.248,24000,89,161.8
0.3125,4.654,0.28,534,90,0.7352,0.248,23000,90,168.4
0.3125,4.654,0.28,543.5,91,0.7255,0.248,22000,91,175.7
0.3125,4.654,0.28,553,92,0.7151,0.248,21000,92,183.6
0.3125,4.654,0.28,562.5,93,0.7038,0.248,20000,93,192.3
0.3125,4.654,0.28,572,94,0.6916,0.248,19000,94,202
0.3125,4.654,0.28,581.5,95,0.6782,0.248,18000,95,212.8
0.3125,4.654,0.28,591,96,0.6637,0.248,17000,96,224.9
0.3125,4.654,0.28,600.5,97,0.6477,0.248,16000,97,238.5
0.3125,4.654,0.28,610,98,0.6302,0.248,15000,98,254
0.3125,4.654,0.165,515,99,0.6566,0.129,25000,99,47.05
0.3125,4.654,0.165,524.5,100,0.6457,0.129,24000,100,48.87
0.3125,4.654,0.165,534,101,0.6342,0.129,23000,101,50.85
0.3125,4.654,0.165,543.5,102,0.6219,0.129,22000,102,53.02
0.3125,4.654,0.165,553,103,0.6088,0.129,21000,103,55.39
0.3125,4.654,0.165,562.5,104,0.5949,0.129,20000,104,58.01
0.3125,4.654,0.165,572,105,0.58,0.129,19000,105,60.9
0.3125,4.654,0.165,581.5,106,0.5641,0.129,18000,106,64.12
0.3125,4.654,0.165,591,107,0.547,0.129,17000,107,67.73
0.3125,4.654,0.165,600.5,108,0.5286,0.129,16000,108,71.79
0.3125,4.654,0.165,610,109,0.5088,0.129,15000,109,76.4
0.3125,4.654,0.05,515,110,0.3686,0.05,25000,110,8.692
0.3125,4.654,0.05,524.5,111,0.3567,0.05,24000,111,9.028
0.3125,4.654,0.05,534,112,0.3445,0.05,23000,112,9.393
0.3125,4.654,0.05,543.5,113,0.332,0.05,22000,113,9.791
0.3125,4.654,0.05,553,114,0.3191,0.05,21000,114,10.23
0.3125,4.654,0.05,562.5,115,0.3059,0.05,20000,115,10.71
0.3125,4.654,0.05,572,116,0.2923,0.05,19000,116,11.24
0.3125,4.654,0.05,581.5,117,0.2784,0.05,18000,117,11.83
0.3125,4.654,0.05,591,118,0.2641,0.05,17000,118,12.5
0.3125,4.654,0.05,600.5,119,0.2493,0.05,16000,119,13.24
0.3125,4.654,0.05,610,120,0.2342,0.05,15000,120,14.09
0.375,4.5,1.2,515,0,0.8571,1.2,25000,0,533.4
0.375,4.5,1.2,524.5,1,0.8531,1.2,24000,1,554.6
0.375,4.5,1.2,534,2,0.8488,1.2,23000,2,577.7
0.375,4.5,1.2,543.5,3,0.844,1.2,22000,3,603
0.375,4.5,1.2,553,4,0.8388,1.2,21000,4,630.9
0.375,4.5,1.2,562.5,5,0.833,1.2,20000,5,661.7
0.375,4.5,1.2,572,6,0.8267,1.2,19000,6,695.9
0.375,4.5,1.2,581.5,7,0.8197,1.2,18000,7,734.2
0.375,4.5,1.2,591,8,0.8118,1.2,17000,8,777.3
0.375,4.5,1.2,600.5,9,0.8029,1.2,16000,9,826.3
0.375,4.5,1.2,610,10,0.7929,1.2,15000,10,882.4
0.375,4.5,1.085,515,11,0.8491,1.081,25000,11,437
0.375,4.5,1.085,524.5,12,0.8447,1.081,24000,12,454.3
0.375,4.5,1.085,534,13,0.84,1.081,23000,13,473.1
0.375,4.5,1.085,543.5,14,0.8348,1.081,22000,14,493.7
0.375,4.5,1.085,553,15,0.8292,1.081,21000,15,516.4
0.375,4.5,1.085,562.5,16,0.8229,1.081,20000,16,541.5
0.375,4.5,1.085,572,17,0.8161,1.081,19000,17,569.3
0.375,4.5,1.085,581.5,18,0.8085,1.081,18000,18,600.4
0.375,4.5,1.085,591,19,0.8,1.081,17000,19,635.3
0.375,4.5,1.085,600.5,20,0.7904,1.081,16000,20,675
0.375,4.5,1.085,610,21,0.7797,1.081,15000,21,720.3
0.375,4.5,0.97,515,22,0.8393,0.962,25000,22,350.1
0.375,4.5,0.97,524.5,23,0.8345,0.962,24000,23,363.9
0.375,4.5,0.97,534,24,0.8293,0.962,23000,24,379
0.375,4.5,0.97,543.5,25,0.8237,0.962,22000,25,395.4
0.375,4.5,0.97,553,26,0.8175,0.962,21000,26,413.5
0.375,4.5,0.97,562.5,27,0.8107,0.962,20000,27,433.4
0.375,4.5,0.97,572,28,0.8033,0.962,19000,28,455.5
0.375,4.5,0.97,581.5,29,0.795,0.962,18000,29,480.2
0.375,4.5,0.97,591,30,0.7858,0.962,17000,30,508
0.375,4.5,0.97,600.5,31,0.7755,0.962,16000,31,539.4
0.375,4.5,0.97,610,32,0.7639,0.962,15000,32,575.3
0.375,4.5,0.855,515,33,0.8272,0.843,25000,33,272.8
0.375,4.5,0.855,524.5,34,0.8219,0.843,24000,34,283.5
0.375,4.5,0.855,534,35,0.8162,0.843,23000,35,295.2
0.375,4.5,0.855,543.5,36,0.81,0.843,22000,36,307.9
0.375,4.5,0.855,553,37,0.8032,0.843,21000,37,321.9
0.375,4.5,0.855,562.5,38,0.7957,0.843,20000,38,337.4
0.375,4.5,0.855,572,39,0.7876,0.843,19000,39,354.5
0.375,4.5,0.855,581.5,40,0.7786,0.843,18000,40,373.6
0.375,4.5,0.855,591,41,0.7685,0.843,17000,41,395.1
0.375,4.5,0.855,600.5,42,0.7574,0.843,16000,42,419.3
0.375,4.5,0.855,610,43,0.7448,0.843,15000,43,446.9
0.375,4.5,0.74,515,44,0.8118,0.724,25000,44,205
0.375,4.5,0.74,524.5,45,0.8059,0.724,24000,45,213
0.375,4.5,0.74,534,46,0.7995,0.724,23000,46,221.7
0.375,4.5,0.74,543.5,47,0.7926,0.724,22000,47,231.2
0.375,4.5,0.74,553,48,0.7851,0.724,21000,48,241.7
0.375,4.5,0.74,562.5,49,0.7769,0.724,20000,49,253.3
0.375,4.5,0.74,572,50,0.7679,0.724,19000,50,266.1
0.375,4.5,0.74,581.5,51,0.7579,0.724,18000,51,280.3
0.375,4.5,0.74,591,52,0.747,0.724,17000,52,296.3
0.375,4.5,0.74,600.5,53,0.7348,0.724,16000,53,314.4
0.375,4.5,0.74,610,54,0.7211,0.724,15000,54,334.9
0.375,4.5,0.625,515,55,0.7916,0.605,25000,55,146.6
0.375,4.5,0.625,524.5,56,0.7849,0.605,24000,56,152.3
0.375,4.5,0.625,534,57,0.7777,0.605,23000,57,158.5
0.375,4.5,0.625,543.5,58,0.77,0.605,22000,58,165.3
0.375,4.5,0.625,553,59,0.7616,0.605,21000,59,172.7
0.375,4.5,0.625,562.5,60,0.7524,0.605,20000,60,181
0.375,4.5,0.625,572,61,0.7424,0.605,19000,61,190.1
0.375,4.5,0.625,581.5,62,0.7314,0.605,18000,62,200.2
0.375,4.5,0.625,591,63,0.7193,0.605,17000,63,211.6
0.375,4.5,0.625,600.5,64,0.7059,0.605,16000,64,224.4
0.375,4.5,0.625,610,65,0.6909,0.605,15000,65,239
0.375,4.5,0.51,515,66,0.7638,0.486,25000,66,97.62
0.375,4.5,0.51,524.5,67,0.7562,0.486,24000,67,101.4
0.375,4.5,0.51,534,68,0.748,0.486,23000,68,105.5
0.375,4.5,0.51,543.5,69,0.7392,0.486,22000,69,110
0.375,4.5,0.51,553,70,0.7297,0.486,21000,70,115
0.375,4.5,0.51,562.5,71,0.7194,0.486,20000,71,120.5
0.375,4.5,0.51,572,72,0.7081,0.486,19000,72,126.5
0.375,4.5,0.51,581.5,73,0.6959,0.486,18000,73,133.2
0.375,4.5,0.51,591,74,0.6824,0.486,17000,74,140.7
0.375,4.5,0.51,600.5,75,0.6676,0.486,16000,75,149.2
0.375,4.5,0.51,610,76,0.6512,0.486,15000,76,158.9
0.375,4.5,0.395,515,77,0.7235,0.367,25000,77,58.22
0.375,4.5,0.395,524.5,78,0.7146,0.367,24000,78,60.48
0.375,4.5,0.395,534,79,0.7052,0.367,23000,79,62.93
0.375,4.5,0.395,543.5,80,0.6951,0.367,22000,80,65.62
0.375,4.5,0.395,553,81,0.6842,0.367,21000,81,68.56
0.375,4.5,0.395,562.5,82,0.6724,0.367,20000,82,71.8
0.375,4.5,0.395,572,83,0.6597,0.367,19000,83,75.39
0.375,4.5,0.395,581.5,84,0.6459,0.367,18000,84,79.38
0.375,4.5,0.395,591,85,0.631,0.367,17000,85,83.84
0.375,4.5,0.395,600.5,86,0.6146,0.367,16000,86,88.88
0.375,4.5,0.395,610,87,0.5967,0.367,15000,87,94.59
0.375,4.5,0.28,515,88,0.6593,0.248,25000,88,28.52
0.375,4.5,0.28,524.5,89,0.6489,0.248,24000,89,29.62
0.375,4.5,0.28,534,90,0.6379,0.248,23000,90,30.82
0.375,4.5,0.28,543.5,91,0.6261,0.248,22000,91,32.13
0.375,4.5,0.28,553,92,0.6136,0.248,21000,92,33.57
0.375,4.5,0.28,562.5,93,0.6002,0.248,20000,93,35.15
0.375,4.5,0.28,572,94,0.5859,0.248,19000,94,36.9
0.375,4.5,0.28,581.5,95,0.5705,0.248,18000,95,38.85
0.375,4.5,0.28,591,96,0.554,0.248,17000,96,41.03
0.375,4.5,0.28,600.5,97,0.5361,0.248,16000,97,43.49
0.375,4.5,0.28,610,98,0.5169,0.248,15000,98,46.27
0.375,4.5,0.165,515,99,0.5411,0.129,25000,99,8.842
0.375,4.5,0.165,524.5,100,0.529,0.129,24000,100,9.184
0.375,4.5,0.165,534,101,0.5164,0.129,23000,101,9.555
0.375,4.5,0.165,543.5,102,0.5031,0.129,22000,102,9.961
0.375,4.5,0.165,553,103,0.4892,0.129,21000,103,10.41
0.375,4.5,0.165,562.5,104,0.4746,0.129,20000,104,10.89
0.375,4.5,0.165,572,105,0.4592,0.129,19000,105,11.44
0.375,4.5,0.165,581.5,106,0.4429,0.129,18000,106,12.04
0.375,4.5,0.165,591,107,0.4258,0.129,17000,107,12.71
0.375,4.5,0.165,600.5,108,0.4078,0.129,16000,108,13.47
0.375,4.5,0.165,610,109,0.3886,0.129,15000,109,14.33
0.375,4.5,0.05,515,110,0.249,0.05,25000,110,1.697
0.375,4.5,0.05,524.5,111,0.2397,0.05,24000,111,1.762
0.375,4.5,0.05,534,112,0.2302,0.05,23000,112,1.834
0.375,4.5,0.05,543.5,113,0.2206,0.05,22000,113,1.911
0.375,4.5,0.05,553,114,0.2109,0.05,21000,114,1.997
0.375,4.5,0.05,562.5,115,0.201,0.05,20000,115,2.09
0.375,4.5,0.05,572,116,0.1909,0.05,19000,116,2.194
0.375,4.5,0.05,581.5,117,0.1807,0.05,18000,117,2.31
0.375,4.5,0.05,591,118,0.1704,0.05,17000,118,2.439
0.375,4.5,0.05,600.5,119,0.1599,0.05,16000,119,2.584
0.375,4.5,0.05,610,120,0.1492,0.05,15000,120,2.749
0.375,6.3,1.2,515,0,0.8719,1.2,25000,0,1845
0.375,6.3,1.2,524.5,1,0.8684,1.2,24000,1,1923
0.375,6.3,1.2,534,2,0.8645,1.2,23000,2,2009
0.375,6.3,1.2,543.5,3,0.8603,1.2,22000,3,2103
0.375,6.3,1.2,553,4,0.8557,1.2,21000,4,2209
0.375,6.3,1.2,562.5,5,0.8506,1.2,20000,5,2327
0.375,6.3,1.2,572,6,0.8449,1.2,19000,6,2460
0.375,6.3,1.2,581.5,7,0.8387,1.2,18000,7,2612
0.375,6.3,1.2,591,8,0.8316,1.2,17000,8,2787
0.375,6.3,1.2,600.5,9,0.8237,1.2,16000,9,2991
0.375,6.3,1.2,610,10,0.8147,1.2,15000,10,3234
0.375,6.3,1.085,515,11,0.865,1.081,25000,11,1500
0.375,6.3,1.085,524.5,12,0.8612,1.081,24000,12,1562
0.375,6.3,1.085,534,13,0.857,1.081,23000,13,1631
0.375,6.3,1.085,543.5,14,0.8524,1.081,22000,14,1706
0.375,6.3,1.085,553,15,0.8473,1.081,21000,15,1790
0.375,6.3,1.085,562.5,16,0.8418,1.081,20000,16,1883
0.375,6.3,1.085,572,17,0.8356,1.081,19000,17,1988
0.375,6.3,1.085,581.5,18,0.8288,1.081,18000,18,2107
0.375,6.3,1.085,591,19,0.8212,1.081,17000,19,2243
0.375,6.3,1.085,600.5,20,0.8126,1.081,16000,20,2401
0.375,6.3,1.085,610,21,0.8029,1.081,15000,21,2586
0.375,6.3,0.97,515,22,0.8566,0.962,25000,22,1193
0.375,6.3,0.97,524.5,23,0.8524,0.962,24000,23,1242
0.375,6.3,0.97,534,24,0.8477,0.962,23000,24,1296
0.375,6.3,0.97,543.5,25,0.8427,0.962,22000,25,1355
0.375,6.3,0.97,553,26,0.8372,0.962,21000,26,1420
0.375,6.3,0.97,562.5,27,0.8311,0.962,20000,27,1492
0.375,6.3,0.97,572,28,0.8244,0.962,19000,28,1573
0.375,6.3,0.97,581.5,29,0.817,0.962,18000,29,1665
0.375,6.3,0.97,591,30,0.8087,0.962,17000,30,1769
0.375,6.3,0.97,600.5,31,0.7993,0.962,16000,31,1889
0.375,6.3,0.97,610,32,0.7888,0.962,15000,32,2029
0.375,6.3,0.855,515,33,0.8461,0.843,25000,33,923.1
0.375,6.3,0.855,524.5,34,0.8414,0.843,24000,34,960.4
0.375,6.3,0.855,534,35,0.8362,0.843,23000,35,1001
0.375,6.3,0.855,543.5,36,0.8307,0.843,22000,36,1046
0.375,6.3,0.855,553,37,0.8246,0.843,21000,37,1096
0.375,6.3,0.855,562.5,38,0.8179,0.843,20000,38,1151
0.375,6.3,0.855,572,39,0.8105,0.843,19000,39,1212
0.375,6.3,0.855,581.5,40,0.8023,0.843,18000,40,1281
0.375,6.3,0.855,591,41,0.7932,0.843,17000,41,1359
0.375,6.3,0.855,600.5,42,0.783,0.843,16000,42,1448
0.375,6.3,0.855,610,43,0.7716,0.843,15000,43,1551
0.375,6.3,0.74,515,44,0.8326,0.724,25000,44,688.5
0.375,6.3,0.74,524.5,45,0.8273,0.724,24000,45,716.1
0.375,6.3,0.74,534,46,0.8216,0.724,23000,46,746.2
0.375,6.3,0.74,543.5,47,0.8154,0.724,22000,47,779.2
0.375,6.3,0.74,553,48,0.8085,0.724,21000,48,815.5
0.375,6.3,0.74,562.5,49,0.8011,0.724,20000,49,855.7
0.375,6.3,0.74,572,50,0.7929,0.724,19000,50,900.6
0.375,6.3,0.74,581.5,51,0.7839,0.724,18000,51,950.8
0.375,6.3,0.74,591,52,0.7738,0.724,17000,52,1007
0.375,6.3,0.74,600.5,53,0.7626,0.724,16000,53,1072
0.375,6.3,0.74,610,54,0.75,0.724,15000,54,1146
0.375,6.3,0.625,515,55,0.8148,0.605,25000,55,488.7
0.375,6.3,0.625,524.5,56,0.8088,0.605,24000,56,508.1
0.375,6.3,0.625,534,57,0.8023,0.605,23000,57,529.2
0.375,6.3,0.625,543.5,58,0.7952,0.605,22000,58,552.4
0.375,6.3,0.625,553,59,0.7875,0.605,21000,59,577.8
0.375,6.3,0.625,562.5,60,0.7792,0.605,20000,60,606
0.375,6.3,0.625,572,61,0.77,0.605,19000,61,637.2
0.375,6.3,0.625,581.5,62,0.7599,0.605,18000,62,672.2
0.375,6.3,0.625,591,63,0.7487,0.605,17000,63,711.5
0.375,6.3,0.625,600.5,64,0.7363,0.605,16000,64,756.2
0.375,6.3,0.625,610,65,0.7224,0.605,15000,65,807.3
0.375,6.3,0.51,515,66,0.7901,0.486,25000,66,323
0.375,6.3,0.51,524.5,67,0.7832,0.486,24000,67,335.7
0.375,6.3,0.51,534,68,0.7757,0.486,23000,68,349.5
0.375,6.3,0.51,543.5,69,0.7676,0.486,22000,69,364.7
0.375,6.3,0.51,553,70,0.7588,0.486,21000,70,381.3
0.375,6.3,0.51,562.5,71,0.7493,0.486,20000,71,399.7
0.375,6.3,0.51,572,72,0.7388,0.486,19000,72,420.1
0.375,6.3,0.51,581.5,73,0.7274,0.486,18000,73,442.8
0.375,6.3,0.51,591,74,0.7149,0.486,17000,74,468.3
0.375,6.3,0.51,600.5,75,0.701,0.486,16000,75,497.2
0.375,6.3,0.51,610,76,0.6855,0.486,15000,76,530.2
0.375,6.3,0.395,515,77,0.7538,0.367,25000,77,191
0.375,6.3,0.395,524.5,78,0.7456,0.367,24000,78,198.4
0.375,6.3,0.395,534,79,0.7368,0.367,23000,79,206.6
0.375,6.3,0.395,543.5,80,0.7273,0.367,22000,80,215.4
0.375,6.3,0.395,553,81,0.7171,0.367,21000,81,225.2
0.375,6.3,0.395,562.5,82,0.7061,0.367,20000,82,235.9
0.375,6.3,0.395,572,83,0.6942,0.367,19000,83,247.9
0.375,6.3,0.395,581.5,84,0.6811,0.367,18000,84,261.1
0.375,6.3,0.395,591,85,0.6669,0.367,17000,85,276
0.375,6.3,0.395,600.5,86,0.6513,0.367,16000,86,292.8
0.375,6.3,0.395,610,87,0.6341,0.367,15000,87,311.9
0.375,6.3,0.28,515,88,0.6948,0.248,25000,88,92.58
0.375,6.3,0.28,524.5,89,0.685,0.248,24000,89,96.17
0.375,6.3,0.28,534,90,0.6745,0.248,23000,90,100.1
0.375,6.3,0.28,543.5,91,0.6633,0.248,22000,91,104.4
0.375,6.3,0.28,553,92,0.6513,0.248,21000,92,109.1
0.375,6.3,0.28,562.5,93,0.6384,0.248,20000,93,114.2
0.375,6.3,0.28,572,94,0.6246,0.248,19000,94,119.9
0.375,6.3,0.28,581.5,95,0.6097,0.248,18000,95,126.3
0.375,6.3,0.28,591,96,0.5935,0.248,17000,96,133.4
0.375,6.3,0.28,600.5,97,0.576,0.248,16000,97,141.5
0.375,6.3,0.28,610,98,0.557,0.248,15000,98,150.6
0.375,6.3,0.165,515,99,0.5828,0.129,25000,99,28.28
0.375,6.3,0.165,524.5,100,0.5709,0.129,24000,100,29.37
0.375,6.3,0.165,534,101,0.5584,0.129,23000,101,30.57
0.375,6.3,0.165,543.5,102,0.5452,0.129,22000,102,31.87
0.375,6.3,0.165,553,103,0.5313,0.129,21000,103,33.29
0.375,6.3,0.165,562.5,104,0.5166,0.129,20000,104,34.86
0.375,6.3,0.165,572,105,0.5011,0.129,19000,105,36.6
0.375,6.3,0.165,581.5,106,0.4846,0.129,18000,106,38.53
0.375,6.3,0.165,591,107,0.4672,0.129,17000,107,40.69
0.375,6.3,0.165,600.5,108,0.4486,0.129,16000,108,43.13
0.375,6.3,0.165,610,109,0.4289,0.129,15000,109,45.89
0.375,6.3,0.05,515,110,0.2855,0.05,25000,110,5.327
0.375,6.3,0.05,524.5,111,0.2752,0.05,24000,111,5.533
0.375,6.3,0.05,534,112,0.2647,0.05,23000,112,5.757
0.375,6.3,0.05,543.5,113,0.254,0.05,22000,113,6.001
0.375,6.3,0.05,553,114,0.2431,0.05,21000,114,6.269
0.375,6.3,0.05,562.5,115,0.2321,0.05,20000,115,6.564
0.375,6.3,0.05,572,116,0.2208,0.05,19000,116,6.891
0.375,6.3,0.05,581.5,117,0.2093,0.05,18000,117,7.254
0.375,6.3,0.05,591,118,0.1976,0.05,17000,118,7.66
0.375,6.3,0.05,600.5,119,0.1857,0.05,16000,119,8.117
0.375,6.3,0.05,610,120,0.1736,0.05,15000,120,8.636
